排名,客户ID,流失概率,风险等级,建议挽留措施,报告生成时间,主要风险因素,在网时长(月),月消费(元),累计消费(元),合同类型,网络服务,支付方式,性别,流失原因分析
348,3678-MNGZX,64.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,68,19.95,1377.7,Two year,No,Bank transfer (automatic),Male,无网络服务，增值业务少
349,8128-YVJRG,64.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,7,79.65,604.7,Month-to-month,Fiber optic,Mailed check,Female,月租费用中等偏高(¥80/月)；在网时间较短(7个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
350,2235-EZAIK,64.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,79.2,5401.9,Two year,DSL,Credit card (automatic),Female,月租费用中等偏高(¥79/月)
351,1304-NECVQ,64.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,78.55,149.55,Month-to-month,Fiber optic,Electronic check,Female,月租费用中等偏高(¥79/月)；在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
352,8414-MYSHR,63.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,5,91.4,449.75,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥91/月)；在网时间较短(5个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
353,5047-LHVLY,63.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,50.15,50.15,Month-to-month,DSL,Mailed check,Male,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差
354,8242-SOQUO,63.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,5,84.7,392.5,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥85/月)；在网时间较短(5个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
355,6402-SSEJG,63.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,25,61.05,1540.2,One year,DSL,Electronic check,Female,月租费用中等偏高(¥61/月)；年付合同即将到期，需重点关注；电子支票支付，账单拖欠风险较高
356,3298-QEICA,63.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,23,34.6,813.45,Two year,DSL,Mailed check,Female,在网时间(23个月)，仍处于流失高风险期；邮寄支票支付，便捷性差
357,8910-ICHIU,63.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,46,95.65,4664.2,One year,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥96/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高
358,2208-MPXIO,63.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,45,20.0,886.4,Two year,No,Bank transfer (automatic),Female,无网络服务，增值业务少
359,8430-TWCBX,63.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,49,20.7,1032.05,One year,No,Credit card (automatic),Female,年付合同即将到期，需重点关注；无网络服务，增值业务少
360,2696-NARTR,63.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,11,73.85,926.25,Month-to-month,Fiber optic,Electronic check,Male,月租费用中等偏高(¥74/月)；在网时间较短(11个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
361,2542-HYGIQ,63.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,19.95,19.95,Month-to-month,No,Credit card (automatic),Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少
362,7137-NAXML,63.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,23,20.15,405.6,One year,No,Bank transfer (automatic),Male,在网时间(23个月)，仍处于流失高风险期；年付合同即将到期，需重点关注；无网络服务，增值业务少
363,1837-YQUCE,63.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,70,58.35,4214.25,Two year,DSL,Bank transfer (automatic),Female,综合风险因素，需进一步分析
364,6152-ONASV,63.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,68,58.25,3975.7,One year,DSL,Bank transfer (automatic),Female,年付合同即将到期，需重点关注
365,0018-NYROU,62.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,5,68.95,351.5,Month-to-month,Fiber optic,Electronic check,Female,月租费用中等偏高(¥69/月)；在网时间较短(5个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
366,0259-GBZSH,62.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,85.65,181.5,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥86/月)；在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
367,5469-CTCWN,62.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,61,106.0,6547.7,One year,Fiber optic,Electronic check,Male,月租费用偏高(¥106/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
368,0311-UNPFF,62.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,26,88.8,2274.35,Month-to-month,Fiber optic,Bank transfer (automatic),Female,月租费用偏高(¥89/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
369,2181-UAESM,62.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,53.45,119.5,Month-to-month,DSL,Electronic check,Male,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高
370,9469-WEJBT,62.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,37,90.35,3419.3,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥90/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
371,4929-XIHVW,62.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,95.5,181.65,Month-to-month,Fiber optic,Credit card (automatic),Male,月租费用偏高(¥96/月)；在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
372,7722-CVFXN,62.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,54,105.2,5637.85,One year,Fiber optic,Electronic check,Male,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
373,1982-FEBTD,62.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,23,25.6,514.75,Two year,No,Credit card (automatic),Female,在网时间(23个月)，仍处于流失高风险期；无网络服务，增值业务少
374,6963-EZQEE,62.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,70,88.55,6306.5,Two year,DSL,Credit card (automatic),Male,月租费用偏高(¥89/月)
375,8033-VCZGH,62.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,50,103.95,5231.3,One year,Fiber optic,Electronic check,Male,月租费用偏高(¥104/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
376,4900-MSOMT,62.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,80.2,5714.2,Two year,DSL,Bank transfer (automatic),Female,月租费用偏高(¥80/月)
377,2369-UAPKZ,62.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,5,104.1,541.9,Month-to-month,Fiber optic,Mailed check,Male,月租费用偏高(¥104/月)；在网时间较短(5个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
378,4884-TVUQF,62.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,57,101.3,5779.6,Two year,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥101/月)；光纤用户对网络质量要求高
379,4568-KNYWR,62.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,52,63.25,3342.45,Two year,DSL,Credit card (automatic),Male,月租费用中等偏高(¥63/月)
380,0306-JAELE,62.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,5,96.1,453.4,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥96/月)；在网时间较短(5个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
381,7515-LODFU,62.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,69,20.3,1356.3,Two year,No,Credit card (automatic),Male,无网络服务，增值业务少
382,7130-VTEWQ,62.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,8,75.75,606.25,Month-to-month,Fiber optic,Electronic check,Female,月租费用中等偏高(¥76/月)；在网时间较短(8个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
383,9624-EGDEQ,61.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,37,19.8,813.3,Two year,No,Mailed check,Female,无网络服务，增值业务少；邮寄支票支付，便捷性差
384,8292-TYSPY,61.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,19,55.0,1046.5,Month-to-month,DSL,Credit card (automatic),Male,在网时间(19个月)，仍处于流失高风险期；月付合同，转换成本低，易流失
385,6599-GZWCM,61.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,13,74.65,966.25,One year,Fiber optic,Mailed check,Female,月租费用中等偏高(¥75/月)；在网时间(13个月)，仍处于流失高风险期；年付合同即将到期，需重点关注；光纤用户对网络质量要求高
386,8981-FJGLA,61.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,11,78.0,851.8,Month-to-month,Fiber optic,Mailed check,Male,月租费用中等偏高(¥78/月)；在网时间较短(11个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
387,8138-EALND,61.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,19.75,311.6,Month-to-month,No,Mailed check,Male,在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差
388,9103-TCIHJ,61.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,55.7,899.8,Month-to-month,DSL,Mailed check,Female,在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差
389,6202-JVYEU,61.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,9,19.9,164.6,One year,No,Electronic check,Male,在网时间较短(9个月)，客户黏性不足；年付合同即将到期，需重点关注；无网络服务，增值业务少；电子支票支付，账单拖欠风险较高
390,7077-XJMET,61.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,12,74.15,741.4,Month-to-month,DSL,Electronic check,Male,月租费用中等偏高(¥74/月)；在网时间(12个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高
391,1335-NTIUC,61.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,9,24.95,190.25,Month-to-month,DSL,Electronic check,Male,在网时间较短(9个月)，客户黏性不足；月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高
392,5813-UECBU,61.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,33,83.85,2716.3,Month-to-month,Fiber optic,Credit card (automatic),Male,月租费用偏高(¥84/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
393,7825-ECJRF,61.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,19,106.6,1934.45,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥107/月)；在网时间(19个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
394,3062-ICYZQ,61.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,51,93.8,4539.35,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥94/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
395,7808-DVWEP,61.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,3,20.0,49.65,Month-to-month,No,Bank transfer (automatic),Male,在网时间较短(3个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少
396,5730-DBDSI,61.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,66,19.7,1253.8,Two year,No,Bank transfer (automatic),Male,无网络服务，增值业务少
397,5122-CYFXA,61.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,3,75.3,244.1,Month-to-month,DSL,Electronic check,Female,月租费用中等偏高(¥75/月)；在网时间较短(3个月)，客户黏性不足；月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高
398,8028-PNXHQ,61.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,62,24.25,1424.6,Two year,No,Bank transfer (automatic),Male,无网络服务，增值业务少
399,2826-DXLQO,61.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,7,29.8,220.45,Month-to-month,DSL,Bank transfer (automatic),Male,在网时间较短(7个月)，客户黏性不足；月付合同，转换成本低，易流失
400,3063-QFSZL,61.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,55.4,55.4,Month-to-month,DSL,Electronic check,Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高
401,8008-HAWED,60.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,14,50.75,712.75,Month-to-month,DSL,Electronic check,Male,在网时间(14个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高
402,2773-OVBPK,60.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,67,111.3,7567.2,Two year,Fiber optic,Bank transfer (automatic),Male,月租费用偏高(¥111/月)；光纤用户对网络质量要求高
403,9170-ARBTB,60.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,52,19.6,1012.4,One year,No,Credit card (automatic),Female,年付合同即将到期，需重点关注；无网络服务，增值业务少
404,6683-VLCTZ,60.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,20,98.55,1842.8,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥99/月)；在网时间(20个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
405,1099-BTKWT,60.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,68,54.4,3723.65,One year,DSL,Electronic check,Female,年付合同即将到期，需重点关注；电子支票支付，账单拖欠风险较高
406,3807-XHCJH,60.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,20.0,20.0,Month-to-month,No,Electronic check,Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；电子支票支付，账单拖欠风险较高
407,5673-TIYIB,60.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,40.4,77.15,Month-to-month,DSL,Credit card (automatic),Male,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失
408,3082-YVEKW,60.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,23,77.15,1759.4,Two year,DSL,Bank transfer (automatic),Female,月租费用中等偏高(¥77/月)；在网时间(23个月)，仍处于流失高风险期
409,1729-VLAZJ,60.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,10,40.25,411.45,One year,DSL,Mailed check,Female,在网时间较短(10个月)，客户黏性不足；年付合同即将到期，需重点关注；邮寄支票支付，便捷性差
410,8757-TFHHJ,60.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,49.8,49.8,Month-to-month,DSL,Credit card (automatic),Male,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失
411,7176-WIONM,60.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,12,49.85,617.15,Month-to-month,DSL,Bank transfer (automatic),Female,在网时间(12个月)，仍处于流失高风险期；月付合同，转换成本低，易流失
412,8532-UEFWH,60.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,52,25.75,1345.85,Two year,No,Mailed check,Male,无网络服务，增值业务少；邮寄支票支付，便捷性差
413,2722-VOJQL,60.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,64,105.65,6903.1,One year,Fiber optic,Credit card (automatic),Male,月租费用偏高(¥106/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高
414,8049-WJCLQ,60.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,10,60.2,563.5,Month-to-month,DSL,Mailed check,Male,月租费用中等偏高(¥60/月)；在网时间较短(10个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差
415,8785-CJSHH,60.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,60,99.8,5985.75,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥100/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
416,0222-CNVPT,59.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,52,48.8,2555.05,Month-to-month,DSL,Credit card (automatic),Male,月付合同，转换成本低，易流失
417,0929-PECLO,59.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,63,89.6,5538.8,Month-to-month,Fiber optic,Bank transfer (automatic),Female,月租费用偏高(¥90/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
