排名,客户ID,流失概率,风险等级,建议挽留措施,报告生成时间,主要风险因素,在网时长(月),月消费(元),累计消费(元),合同类型,网络服务,支付方式,性别,流失原因分析
114,9793-WECQC,82.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,23,95.3,2192.9,Month-to-month,Fiber optic,Mailed check,Male,月租费用偏高(¥95/月)；在网时间(23个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
115,0956-SYCWG,82.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,13,19.65,244.8,One year,No,Electronic check,Female,在网时间(13个月)，仍处于流失高风险期；年付合同即将到期，需重点关注；无网络服务，增值业务少；电子支票支付，账单拖欠风险较高
116,4879-GZLFH,82.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,42,92.15,3875.4,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥92/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
117,2675-IJRGJ,81.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,53,19.65,978.0,Two year,No,Bank transfer (automatic),Male,无网络服务，增值业务少；流失概率极高，需立即挽留
118,9546-CQJSU,81.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,91.4,193.6,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥91/月)；在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
119,5183-KLYEM,81.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,112.75,8192.6,Two year,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥113/月)；光纤用户对网络质量要求高；流失概率极高，需立即挽留
120,5192-EBGOV,81.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,85.7,85.7,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥86/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
121,2324-EFHVG,81.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,64,104.4,6692.65,Two year,Fiber optic,Bank transfer (automatic),Male,月租费用偏高(¥104/月)；光纤用户对网络质量要求高；流失概率极高，需立即挽留
122,0813-TAXXS,81.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,55,77.8,4323.35,Two year,DSL,Bank transfer (automatic),Male,月租费用中等偏高(¥78/月)；流失概率极高，需立即挽留
123,8120-JDCAM,81.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,4,69.55,284.9,Month-to-month,Fiber optic,Mailed check,Male,月租费用中等偏高(¥70/月)；在网时间较短(4个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
124,3746-EUBYR,81.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,74.6,74.6,Month-to-month,Fiber optic,Bank transfer (automatic),Male,月租费用中等偏高(¥75/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
125,3719-TDVQB,81.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,54,18.95,1031.1,Two year,No,Mailed check,Female,无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
126,9481-WHGWY,80.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,70,75.35,5437.75,Two year,DSL,Credit card (automatic),Female,月租费用中等偏高(¥75/月)；流失概率极高，需立即挽留
127,2673-ZALNP,80.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,7,19.9,173.15,One year,No,Mailed check,Female,在网时间较短(7个月)，客户黏性不足；年付合同即将到期，需重点关注；无网络服务，增值业务少；邮寄支票支付，便捷性差
128,9688-YGXVR,80.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,44,88.15,3973.2,Month-to-month,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥88/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；流失概率极高，需立即挽留
129,8777-PVYGU,80.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,52,64.3,3410.6,One year,DSL,Mailed check,Female,月租费用中等偏高(¥64/月)；年付合同即将到期，需重点关注；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
130,9470-RTWDV,80.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,26,82.0,2083.1,One year,DSL,Credit card (automatic),Male,月租费用偏高(¥82/月)；年付合同即将到期，需重点关注；流失概率极高，需立即挽留
131,9465-RWMXL,80.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,32,78.9,2447.95,Month-to-month,Fiber optic,Electronic check,Male,月租费用中等偏高(¥79/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
132,8250-ZNGGW,80.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,5,59.9,287.85,Month-to-month,DSL,Credit card (automatic),Female,在网时间较短(5个月)，客户黏性不足；月付合同，转换成本低，易流失；流失概率极高，需立即挽留
133,2908-ZTPNF,80.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,36,34.85,1267.2,Month-to-month,DSL,Bank transfer (automatic),Female,月付合同，转换成本低，易流失；流失概率极高，需立即挽留
134,7734-DBOAI,80.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,40.1,40.1,Month-to-month,DSL,Electronic check,Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留
135,5574-NXZIU,80.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,63,109.2,7049.75,Two year,Fiber optic,Credit card (automatic),Male,月租费用偏高(¥109/月)；光纤用户对网络质量要求高；流失概率极高，需立即挽留
136,4003-FUSHP,80.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,19,61.55,1093.2,Month-to-month,DSL,Credit card (automatic),Male,月租费用中等偏高(¥62/月)；在网时间(19个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；流失概率极高，需立即挽留
137,9546-KDTRB,80.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,19,24.7,465.85,Month-to-month,No,Bank transfer (automatic),Female,在网时间(19个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；无网络服务，增值业务少；流失概率极高，需立即挽留
138,3500-RMZLT,79.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,96.3,1426.75,Month-to-month,Fiber optic,Mailed check,Female,月租费用偏高(¥96/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
139,7929-SKFGK,79.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,70,114.3,8244.3,Two year,Fiber optic,Credit card (automatic),Male,月租费用偏高(¥114/月)；光纤用户对网络质量要求高；流失概率极高，需立即挽留
140,0804-YGEQV,79.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,43,24.45,993.15,One year,No,Bank transfer (automatic),Female,年付合同即将到期，需重点关注；无网络服务，增值业务少；流失概率极高，需立即挽留
141,5546-BYZSM,79.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,41,20.45,775.6,Month-to-month,No,Electronic check,Female,月付合同，转换成本低，易流失；无网络服务，增值业务少；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留
142,9800-ONTFE,79.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,22,75.8,1615.1,Month-to-month,Fiber optic,Bank transfer (automatic),Female,月租费用中等偏高(¥76/月)；在网时间(22个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
143,5832-EXGTT,79.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,29,60.2,1834.15,Month-to-month,DSL,Mailed check,Male,月租费用中等偏高(¥60/月)；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
144,2749-CTKAJ,79.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,22,20.15,419.9,One year,No,Mailed check,Male,在网时间(22个月)，仍处于流失高风险期；年付合同即将到期，需重点关注；无网络服务，增值业务少；邮寄支票支付，便捷性差
145,5914-DVBWJ,79.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,18,85.45,1505.85,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥85/月)；在网时间(18个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
146,3374-TTZTK,79.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,52,106.3,5487.0,Two year,Fiber optic,Electronic check,Male,月租费用偏高(¥106/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留
147,3018-TFTSU,79.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,12,81.7,858.6,Month-to-month,Fiber optic,Bank transfer (automatic),Male,月租费用偏高(¥82/月)；在网时间(12个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
148,8345-MVDYC,79.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,45,81.65,3618.7,Two year,DSL,Bank transfer (automatic),Female,月租费用偏高(¥82/月)；流失概率极高，需立即挽留
149,7244-QWYHG,79.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,50,44.45,2188.45,One year,DSL,Bank transfer (automatic),Male,年付合同即将到期，需重点关注；流失概率极高，需立即挽留
150,0661-KBKPA,78.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,53,78.75,3942.45,One year,DSL,Mailed check,Male,月租费用中等偏高(¥79/月)；年付合同即将到期，需重点关注；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
151,2933-FILNV,78.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,24.4,36.55,Month-to-month,DSL,Mailed check,Female,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
152,2061-VVFST,78.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,37,19.5,805.2,Month-to-month,No,Bank transfer (automatic),Female,月付合同，转换成本低，易流失；无网络服务，增值业务少；流失概率极高，需立即挽留
153,5160-UXJED,78.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,17,44.6,681.4,One year,DSL,Mailed check,Male,在网时间(17个月)，仍处于流失高风险期；年付合同即将到期，需重点关注；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
154,5016-IBERQ,78.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,23,84.25,1968.1,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥84/月)；在网时间(23个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
155,8577-QSOCG,78.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,38,20.2,746.05,Two year,No,Mailed check,Female,无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
156,6016-NXBNJ,78.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,35,19.15,638.0,One year,No,Mailed check,Male,年付合同即将到期，需重点关注；无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
157,5372-FBKBN,78.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,21,20.75,452.2,Month-to-month,No,Mailed check,Female,在网时间(21个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差
158,9938-PRCVK,78.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,41,19.7,804.25,Two year,No,Bank transfer (automatic),Female,无网络服务，增值业务少；流失概率极高，需立即挽留
159,3162-KKZXO,78.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,55,100.15,5409.75,One year,Fiber optic,Electronic check,Female,月租费用偏高(¥100/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
160,3566-HJGPK,78.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,45.55,45.55,Month-to-month,DSL,Mailed check,Male,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
161,2669-OIDSD,78.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,48,100.05,4834.0,Month-to-month,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥100/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；流失概率极高，需立即挽留
162,4124-MMETB,77.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,22,94.65,2104.55,Month-to-month,Fiber optic,Credit card (automatic),Male,月租费用偏高(¥95/月)；在网时间(22个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
163,5655-JSMZM,77.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,49,96.2,4718.25,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥96/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
164,6941-PMGEP,77.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,5,80.0,412.5,Month-to-month,Fiber optic,Electronic check,Female,月租费用中等偏高(¥80/月)；在网时间较短(5个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
165,1897-OKVMW,77.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,64,90.6,5817.45,Two year,DSL,Mailed check,Female,月租费用偏高(¥91/月)；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
166,7596-IIWYC,77.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,27,20.25,538.2,Two year,No,Bank transfer (automatic),Female,无网络服务，增值业务少；流失概率极高，需立即挽留
167,4816-OKWNX,77.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,50,103.4,5236.4,One year,Fiber optic,Bank transfer (automatic),Male,月租费用偏高(¥103/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；流失概率极高，需立即挽留
168,1266-NZYUI,77.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,66.85,4758.8,Two year,DSL,Bank transfer (automatic),Female,月租费用中等偏高(¥67/月)；流失概率极高，需立即挽留
169,6556-DBKZF,77.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,71,76.05,5436.45,Two year,Fiber optic,Electronic check,Female,月租费用中等偏高(¥76/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留
170,0419-YAAPX,77.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,49,85.3,4297.95,Month-to-month,Fiber optic,Credit card (automatic),Male,月租费用偏高(¥85/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；流失概率极高，需立即挽留
171,9099-FTUHS,77.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,23,54.4,1249.25,Month-to-month,DSL,Electronic check,Female,在网时间(23个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留
172,2651-ZCBXV,77.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,54,108.0,5760.65,Two year,Fiber optic,Credit card (automatic),Male,月租费用偏高(¥108/月)；光纤用户对网络质量要求高；流失概率极高，需立即挽留
173,8942-DBMHZ,77.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,12,20.45,255.35,Month-to-month,No,Mailed check,Male,在网时间(12个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差
174,6956-SMUCM,77.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,3,99.0,287.4,Month-to-month,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥99/月)；在网时间较短(3个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
175,8106-GWQOK,77.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,38,60.0,2193.2,Two year,DSL,Bank transfer (automatic),Male,流失概率极高，需立即挽留
176,7173-TETGO,77.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,78.5,5602.25,Two year,Fiber optic,Bank transfer (automatic),Female,月租费用中等偏高(¥78/月)；光纤用户对网络质量要求高；流失概率极高，需立即挽留
177,3898-GUYTS,77.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,45,97.05,4385.05,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥97/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
178,4795-WRNVT,77.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,40,65.1,2586.0,Month-to-month,DSL,Mailed check,Female,月租费用中等偏高(¥65/月)；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
179,9947-OTFQU,77.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,74.4,1074.3,Month-to-month,Fiber optic,Electronic check,Male,月租费用中等偏高(¥74/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
180,5144-TVGLP,77.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,38,94.75,3653.0,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥95/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
